t_ms,x_mm,y_mm,yaw_deg
362,0,0,0.3
465,0,0,0.3
563,0,0,0.3
666,0,0,0.3
779,0,0,0.3
863,0,0,0.3
963,0,0,0.3
1063,0,0,0.3
1163,0,0,0.3
1263,0,0,0.3
1364,0,0,0.3
1466,0,0,0.3
1563,0,0,0.3
1669,0,0,0.3
1763,0,0,0.3
1863,0,0,0.3
1964,0,0,0.3
2079,0,0,0.3
2164,0,0,0.3
2263,0,0,0.3
2364,0,0,0.3
2463,0,0,0.3
2572,0,0,0.4
2663,0,0,0.4
2763,0,0,0.4
2863,0,0,0.4
2964,0,0,0.4
3063,0,0,0.4
3164,0,0,0.4
3264,0,0,0.4
3363,0,0,0.4
3464,0,0,0.4
3563,0,0,0.4
3663,0,0,0.4
3766,0,0,0.4
3863,0,0,0.4
3964,0,0,0.4
4064,0,0,0.4
4165,0,0,0.4
4263,0,0,0.4
4363,0,0,0.4
4463,0,0,0.4
4563,0,0,0.4
4664,0,0,0.4
4767,0,0,0.4
4864,0,0,0.4
4963,0,0,0.4
5064,0,0,0.4
5162,0,0,0.4
5263,0,0,0.4
5363,0,0,0.4
5464,0,0,0.4
5564,0,0,0.4
5663,0,0,0.4
5764,0,0,0.4
5863,0,0,0.5
5964,0,0,0.5
6063,0,0,0.5
6163,0,0,0.5
6263,0,0,0.5
6363,0,0,0.5
6463,0,0,0.5
6564,0,0,0.5
6663,0,0,0.5
6763,0,0,0.5
6867,0,0,0.5
6962,0,0,0.5
7061,0,0,0.5
7163,0,0,0.5
7262,0,0,0.5
7362,0,0,0.5
7463,0,0,0.5
7562,0,0,0.5
7663,0,0,0.5
7762,0,0,0.5
7863,0,0,0.5
7962,0,0,0.5
8063,0,0,0.5
8162,0,0,0.5
8262,0,0,0.5
8362,0,0,0.5
8463,0,0,0.5
8562,0,0,0.5
8664,0,0,0.5
8761,0,0,0.5
8863,0,0,0.5
8963,0,0,0.5
9062,0,0,0.5
9167,0,0,0.6
9263,0,0,0.6
9366,0,0,0.6
9463,0,0,0.6
9562,0,0,0.6
9663,0,0,0.6
9762,0,0,0.6
9863,0,0,0.6
9963,0,0,0.6
10062,0,0,0.6
10163,0,0,0.6
10262,0,0,0.6
10362,0,0,0.6
10462,0,0,0.6
10563,0,0,0.6
10662,0,0,0.6
10762,0,0,0.6
10862,0,0,0.6
10969,0,0,0.6
11062,0,0,0.6
11163,0,0,0.6
11263,0,0,0.6
11362,0,0,0.6
11463,0,0,0.6
11562,0,0,0.6
11663,0,0,0.6
11762,0,0,0.6
11877,0,0,0.6
11961,0,0,0.6
12062,0,0,0.6
12163,0,0,0.6
12263,0,0,0.6
12362,0,0,0.7
12462,0,0,0.7
12562,0,0,0.7
12662,0,0,0.7
12765,0,0,0.7
12862,0,0,0.7
12962,0,0,0.7
13062,0,0,0.7
13162,0,0,0.7
13263,0,0,0.7
13362,0,0,0.7
13465,0,0,0.7
13562,0,0,0.7
13662,0,0,0.7
13763,0,0,0.7
13863,0,0,0.7
13964,0,0,0.7
14070,0,0,0.7
14162,0,0,0.7
14262,0,0,0.7
14367,0,0,0.7
14462,0,0,0.7
14574,0,0,0.7
14663,0,0,0.7
14762,0,0,0.7
14863,0,0,0.7
14963,0,0,0.7
15062,0,0,0.7
15162,0,0,0.7
15262,0,0,0.7
15368,0,0,0.7
15463,0,0,0.7
15563,0,0,0.7
15663,0,0,0.8
15762,0,0,0.8
15862,0,0,0.8
15964,0,0,0.8
16064,0,0,0.8
16162,0,0,0.8
16263,0,0,0.8
16364,0,0,0.8
16463,0,0,0.8
16563,0,0,0.8
16663,0,0,0.8
16762,0,0,0.8
16877,0,0,0.8
16962,0,0,0.8
17063,0,0,0.8
17163,0,0,0.8
17262,0,0,0.8
17362,0,0,0.8
17462,0,0,0.8
17564,0,0,0.8
17664,0,0,0.8
17762,0,0,0.8
17862,0,0,0.8
17962,0,0,0.8
18063,0,0,0.8
18163,0,0,0.8
18262,0,0,0.8
18363,0,0,0.8
18462,0,0,0.8
18562,0,0,0.8
18662,0,0,0.8
18762,0,0,0.8
18864,0,0,0.8
18963,0,0,0.8
19063,0,0,0.9
19161,0,0,0.9
19263,0,0,0.9
19362,0,0,0.9
19462,0,0,0.9
19566,0,0,0.9
19664,0,0,0.9
19773,0,0,1.0
19863,0,0,1.0
19963,0,0,1.0
20063,0,0,1.0
20162,0,0,1.0
20262,1,0,0.8
21763,116,6,4.8
21764,135,8,4.1
21764,151,9,3.1
21766,168,10,3.4
21767,187,11,3.6
21862,298,18,4.0
21961,316,19,4.0
22062,333,20,4.1
22161,350,22,4.4
22263,367,23,4.8
22378,385,25,5.5
22461,405,27,6.1
22571,424,29,6.4
22662,438,31,7.4
22762,449,32,7.9
22862,456,33,7.9
22963,462,34,7.9
23065,466,34,7.9
23175,472,35,7.9
23276,479,36,7.9
23362,488,37,7.9
23462,497,39,7.9
23574,506,40,7.9
23663,515,41,7.9
23762,524,42,7.9
23881,534,44,8.0
23983,543,45,8.2
24064,556,47,8.2
24162,569,49,8.2
24262,584,51,8.2
24362,598,53,8.2
24486,610,55,8.2
24578,618,56,8.2
24662,625,57,8.2
24779,629,58,8.4
24863,632,58,8.6
24962,635,58,8.6
25062,640,59,8.7
25162,647,60,9.0
25262,658,62,9.0
25362,671,64,9.0
25462,685,66,9.0
25562,700,69,9.1
25661,712,71,9.4
25762,723,73,9.9
28680,893,106,12.7
28681,907,109,13.2
28682,919,112,13.2
28682,931,115,13.3
28684,944,118,13.7
28684,957,121,13.6
28763,1017,136,13.7
28862,1029,138,13.7
28974,1039,141,13.7
29062,1050,144,13.8
29174,1064,147,13.9
29262,1080,151,14.4
29362,1098,156,14.4
29462,1115,160,14.4
29561,1131,164,14.8
29667,1148,169,14.8
29762,1165,173,14.8
29862,1183,178,14.9
29963,1203,183,13.9
30062,1224,188,13.7
30162,1243,193,14.5
30262,1261,198,15.0
30362,1282,203,15.0
30464,1304,209,15.3
30563,1327,216,15.7
30668,1355,223,15.1
30762,1385,232,15.6
30862,1413,239,15.8
30963,1435,246,15.8
31061,1455,251,16.1
31162,1473,257,17.9
31263,1491,263,18.2
31362,1506,268,16.7
31462,1515,270,16.6
31562,1522,272,17.5
31662,1530,275,17.7
31763,1541,278,14.3
31862,1562,283,13.6
31962,1584,288,12.1
32062,1604,292,10.2
32162,1617,295,11.8
33579,1651,304,17.3
